"","Código Departamento","Departamento","Municipio","1","2","3","4","5","6","7","8","9","10","11","12"
"5001",5,"ANTIOQUIA","MEDELLIN",0,0,3,0,0,0,0,0,1,0,0,1
"5002",5,"ANTIOQUIA","ABEJORRAL",0,1,0,0,0,0,0,0,1,0,0,0
"5004",5,"ANTIOQUIA","ABRIAQUI",1,0,1,0,0,0,0,0,0,0,0,1
"5021",5,"ANTIOQUIA","ALEJANDRIA",0,0,0,0,0,0,1,0,0,1,0,0
"5030",5,"ANTIOQUIA","AMAGA",0,0,0,0,0,0,0,1,0,0,0,0
"5031",5,"ANTIOQUIA","AMALFI",1,1,1,0,3,5,2,1,3,0,2,2
"5034",5,"ANTIOQUIA","ANDES",0,0,0,5,3,3,0,0,0,2,1,1
"5038",5,"ANTIOQUIA","ANGOSTURA",0,0,0,0,1,0,0,0,0,0,0,0
"5040",5,"ANTIOQUIA","ANORI",0,0,1,1,1,0,0,1,0,1,1,3
"5042",5,"ANTIOQUIA","ANTIOQUIA",0,0,1,0,0,0,0,1,0,0,0,0
"5044",5,"ANTIOQUIA","ANZA",0,0,1,0,0,0,0,0,0,0,0,0
"5045",5,"ANTIOQUIA","APARTADO",1,0,0,0,3,4,2,5,6,4,6,1
"5051",5,"ANTIOQUIA","ARBOLETES",1,0,1,1,0,4,3,3,2,1,3,2
"5055",5,"ANTIOQUIA","ARGELIA",0,0,1,0,1,0,1,0,0,0,1,0
"5079",5,"ANTIOQUIA","BARBOSA",1,0,0,0,0,0,0,0,0,0,0,0
"5088",5,"ANTIOQUIA","BELLO",0,0,0,0,0,0,0,1,0,0,0,0
"5091",5,"ANTIOQUIA","BETANIA",1,0,0,0,0,0,0,1,0,0,0,0
"5093",5,"ANTIOQUIA","BETULIA",0,0,2,1,0,1,0,0,0,3,0,2
"5101",5,"ANTIOQUIA","BOLIVAR",4,0,1,0,0,0,2,2,1,2,1,0
"5107",5,"ANTIOQUIA","BRICENO",0,0,1,0,1,0,0,1,1,1,1,0
"5113",5,"ANTIOQUIA","BURITICA",0,0,0,0,0,0,1,0,0,0,0,0
"5120",5,"ANTIOQUIA","CACERES",1,0,3,1,1,3,1,0,1,2,1,0
"5129",5,"ANTIOQUIA","CALDAS",0,1,0,1,0,0,0,0,0,0,0,0
"5134",5,"ANTIOQUIA","CAMPAMENTO",0,0,0,0,0,1,0,1,1,0,0,3
"5142",5,"ANTIOQUIA","CARACOLI",0,0,0,0,1,0,0,0,0,0,0,0
"5147",5,"ANTIOQUIA","CAREPA",0,1,2,0,3,1,1,2,1,0,0,2
"5150",5,"ANTIOQUIA","CAROLINA",0,0,0,1,0,0,0,0,0,0,1,0
"5154",5,"ANTIOQUIA","CAUCASIA",0,0,2,1,0,1,0,2,1,1,1,0
"5172",5,"ANTIOQUIA","CHIGORODO",0,3,3,3,2,1,3,0,1,0,0,2
"5190",5,"ANTIOQUIA","CISNEROS",1,0,0,0,0,0,0,0,0,0,0,0
"5197",5,"ANTIOQUIA","COCORNA",0,0,1,0,0,1,0,1,0,1,1,2
"5209",5,"ANTIOQUIA","CONCORDIA",0,2,1,0,0,2,0,0,0,1,0,1
"5212",5,"ANTIOQUIA","COPACABANA",0,0,0,0,0,0,0,0,0,0,0,1
"5234",5,"ANTIOQUIA","DABEIBA",1,1,0,1,1,1,1,1,2,0,0,1
"5240",5,"ANTIOQUIA","EBEJICO",0,0,0,1,2,0,0,1,0,0,0,0
